,fdr,tpr,fpr,shd,pred_size,loss,G_,G,seed,n,n_edges,missed,invented
2,0.1111111111111111,0.96,0.01818181818181818,3,27,0.005399040810261294,,,41,20,25,1,24
4,0.1,0.9,0.01875,5,30,0.003844228598621722,,,41,20,30,3,27
5,0.09090909090909091,0.9302325581395349,0.027210884353741496,7,44,0.017306510933070302,,,41,20,43,3,40
7,0.3835616438356164,0.7758620689655172,0.21212121212121213,39,73,0.06558707882423359,,,41,20,58,13,45
2,0.0,1.0,0.0,0,24,0.005797272143954915,,,42,20,24,0,24
4,0.125,0.875,0.02531645569620253,7,32,0.007643266213166161,,,42,20,32,4,28
5,0.15517241379310345,0.8909090909090909,0.06666666666666667,14,58,0.12507441240442813,,,42,20,55,6,49
7,0.3333333333333333,0.8181818181818182,0.21774193548387097,37,81,0.20741061029268368,,,42,20,66,12,54
2,0.0,0.9166666666666666,0.0,1,11,0.007138500406766933,,,43,20,12,1,11
4,0.16326530612244897,1.0,0.053691275167785234,8,49,0.03281665832861314,,,43,20,41,0,41
5,0.35714285714285715,0.8333333333333334,0.18382352941176472,33,70,0.04308445294839778,,,43,20,54,9,45
7,0.34444444444444444,0.8309859154929577,0.2605042016806723,43,90,0.5237322458196794,,,43,20,71,12,59
